"","GEO","CDUID"
"1","Newfoundland and Labrador","10"
"2","Division No. 1, Newfoundland and Labrador","1001"
"3","Division No. 2, Newfoundland and Labrador","1002"
"4","Division No. 3, Newfoundland and Labrador","1003"
"5","Division No. 4, Newfoundland and Labrador","1004"
"6","Division No. 5, Newfoundland and Labrador","1005"
"7","Division No. 6, Newfoundland and Labrador","1006"
"8","Division No. 7, Newfoundland and Labrador","1007"
"9","Division No. 8, Newfoundland and Labrador","1008"
"10","Division No. 9, Newfoundland and Labrador","1009"
"11","Division No. 10, Newfoundland and Labrador","1010"
"12","Division No. 11, Newfoundland and Labrador","1011"
"13","Prince Edward Island","11"
"14","Kings, Prince Edward Island","1101"
"15","Queens, Prince Edward Island","1102"
"16","Prince, Prince Edward Island","1103"
"17","Nova Scotia","12"
"18","Shelburne, Nova Scotia","1201"
"19","Yarmouth, Nova Scotia","1202"
"20","Digby, Nova Scotia","1203"
"21","Queens, Nova Scotia","1204"
"22","Annapolis, Nova Scotia","1205"
"23","Lunenburg, Nova Scotia","1206"
"24","Kings, Nova Scotia","1207"
"25","Hants, Nova Scotia","1208"
"26","Halifax, Nova Scotia","1209"
"27","Colchester, Nova Scotia","1210"
"28","Cumberland, Nova Scotia","1211"
"29","Pictou, Nova Scotia","1212"
"30","Guysborough, Nova Scotia","1213"
"31","Antigonish, Nova Scotia","1214"
"32","Inverness, Nova Scotia","1215"
"33","Richmond, Nova Scotia","1216"
"34","Cape Breton, Nova Scotia","1217"
"35","Victoria, Nova Scotia","1218"
"36","New Brunswick","13"
"37","Saint John, New Brunswick","1301"
"38","Charlotte, New Brunswick","1302"
"39","Sunbury, New Brunswick","1303"
"40","Queens, New Brunswick","1304"
"41","Kings, New Brunswick","1305"
"42","Albert, New Brunswick","1306"
"43","Westmorland, New Brunswick","1307"
"44","Kent, New Brunswick","1308"
"45","Northumberland, New Brunswick","1309"
"46","York, New Brunswick","1310"
"47","Carleton, New Brunswick","1311"
"48","Victoria, New Brunswick","1312"
"49","Madawaska, New Brunswick","1313"
"50","Restigouche, New Brunswick","1314"
"51","Gloucester, New Brunswick","1315"
"52","Quebec","24"
"53","Les Îles-de-la-Madeleine, Quebec","2401"
"54","Le Rocher-Percé, Quebec","2402"
"55","La CÃ´te-de-Gaspé, Quebec","2403"
"56","La Haute-Gaspésie, Quebec","2404"
"57","Bonaventure, Quebec","2405"
"58","Avignon, Quebec","2406"
"59","La Matapédia, Quebec","2407"
"60","Matane, Quebec","2408"
"61","La Mitis, Quebec","2409"
"62","Rimouski-Neigette, Quebec","2410"
"63","Les Basques, Quebec","2411"
"64","Rivière-du-Loup, Quebec","2412"
"65","Témiscouata, Quebec","2413"
"66","Kamouraska, Quebec","2414"
"67","Charlevoix-Est, Quebec","2415"
"68","Charlevoix, Quebec","2416"
"69","L'Islet, Quebec","2417"
"70","Montmagny, Quebec","2418"
"71","Bellechasse, Quebec","2419"
"72","L'Île-d'Orléans, Quebec","2420"
"73","La CÃ´te-de-Beaupré, Quebec","2421"
"74","La Jacques-Cartier, Quebec","2422"
"75","Québec, Quebec","2423"
"76","Lévis, Quebec","2425"
"77","La Nouvelle-Beauce, Quebec","2426"
"78","Robert-Cliche, Quebec","2427"
"79","Les Etchemins, Quebec","2428"
